208	00d	A	NOR DISP 1	Northern Dispatch 1 	Law Dispatch 
272	011	A	NOR DISP 2	Northern Dispatch 2 	Law Dispatch 
432	01b	A	TAC 1	Tac 1 	Law Tac 
528	021	A	TAC 2	Tac 2 	Law Tac 
592	025	A	TAC 3	Tac 3 	Law Tac 
688	02b	A	TAC 4	Tac 4 	Law Tac 
752	02f	A	TAC 5	Tac 5 	Law Tac 
848	035	A	TAC 6	Tac 6 	Law Tac 
912	039	A	TAC 7	Tac 7 	Law Tac 
1008	03f	A	CITYTAC 1	City Tac 1 	Law Tac 
1072	043	A	CITYTAC 2	City Tac 2 (Gangs) 	Law Tac 
1104	045	A	CITYTAC 3	City Tac 3 (Gangs) 	Law Tac 
1296	051	A	SOU DISP 1	Southern Dispatch 1 	Law Dispatch 
1360	055	A	SOU DISP 2	Southern Dispatch 2 	Law Dispatch 
1456	05b	A	EAS DISP 1	Eastern Dispatch 1 	Law Dispatch 
1520	05f	A	EAS DISP 2	Eastern Dispatch 2 	Law Dispatch 
1616	065	A	WES DISP 1	Western Dispatch 1 	Law Dispatch 
1680	069	A	WES DISP 2	Western Dispatch 2 	Law Dispatch 
1776	06f	A	CEN DISP 1	Central Dispatch 1 	Law Dispatch 
1840	073	A	CEN DISP 2	Central Dispatch 2 	Law Dispatch 
1936	079	A	N/E DISP 1	Northeast Dispatch 1 	Law Dispatch 
2000	07d	A	N/E DISP 2	Northeast Dispatch 2 	Law Dispatch 
2096	083	A	S/E DISP 1	Southeast Dispatch 1 	Law Dispatch 
2160	087	A	S/E DISP 2	Southeast Dispatch 2 	Law Dispatch 
2256	08d	A	MID DISP 1	Mid-City Dispatch 1 	Law Dispatch 
2320	091	A	MID DISP 2	Mid-City Dispatch 2 	Law Dispatch 
2416	097	A	NCW DISP 1	North City West Dispatch 1 (Future Use) 	Law Dispatch 
2480	09b	A	NCW DISP 2	North City West Dispatch 2 	Law Dispatch 
2576	0a1	A	SWAT 1	SWAT 1 	Law Tac 
2608	0a3	A	SWAT 2	SWAT 2 	Law Tac 
2736	0ab	A	NARC 1	Narcotics 1 	Law Tac 
2800	0af	A	NARC 2	Narcotics 2 	Law Tac 
2896	0b5	A	NARC 3	Narcotics 3 	Law Tac 
3056	0bf	A	PATCH	Police Patch 	Interop 
3216	0c9	A	CHP CALL	CHP Calling 	Interop 
3280	0cd	A	S O CALL	SDSO Calling 	Interop 
